City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,54.88,63,86,29.37,light rain
1,Cabo San Lucas,MX,22.8909,-109.9124,88.9,74,40,11.5,scattered clouds
2,Qaanaaq,GL,77.484,-69.3632,40.32,88,98,7.87,overcast clouds
3,Pangnirtung,CA,66.1451,-65.7125,42.3,93,100,2.71,overcast clouds
4,Chuy,UY,-33.6971,-53.4616,58.39,87,2,9.95,clear sky
5,Ciudad Bolivar,VE,8.1222,-63.5497,78.69,82,79,2.44,broken clouds
6,Renqiu,CN,38.6989,116.0936,82.62,79,96,3.33,overcast clouds
7,New Norfolk,AU,-42.7826,147.0587,54.9,87,61,4.76,moderate rain
8,Hanstholm,DK,57.1167,8.6167,65.3,79,100,10.76,overcast clouds
9,Bethel,US,41.3712,-73.414,73.36,63,0,0.0,clear sky
10,Ushuaia,AR,-54.8,-68.3,37.06,81,100,9.22,light rain
11,Mar Del Plata,AR,-38.0023,-57.5575,56.08,96,100,24.0,thunderstorm with light rain
12,Punta Arenas,CL,-53.15,-70.9167,35.71,87,40,9.22,scattered clouds
13,Kapaa,US,22.0752,-159.319,83.12,65,0,11.5,clear sky
14,Hukuntsi,BW,-24.0,21.75,43.32,54,4,8.37,clear sky
15,Gamba,GA,-2.65,10.0,67.86,92,1,4.61,clear sky
16,Kijang,KR,35.2442,129.2139,89.33,71,79,19.62,broken clouds
17,Hilo,US,19.7297,-155.09,84.27,63,75,8.05,broken clouds
18,Hasaki,JP,35.7333,140.8333,88.29,78,86,3.67,overcast clouds
19,Saint-Philippe,RE,-21.3585,55.7679,66.22,73,42,13.73,scattered clouds
20,Butaritari,KI,3.0707,172.7902,81.97,76,37,13.87,scattered clouds
21,Kuito,AO,-12.3833,16.9333,52.72,27,44,4.18,scattered clouds
22,Bilibino,RU,68.0546,166.4372,43.07,76,97,3.15,overcast clouds
23,Jamestown,US,42.097,-79.2353,67.64,73,0,4.61,clear sky
