City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Ciudad Bolivar,VE,78.69,broken clouds,8.1222,-63.5497,Hotel Edi
6,Renqiu,CN,82.62,overcast clouds,38.6989,116.0936,City Garden Renqiu Meishicheng Store
8,Hanstholm,DK,65.3,overcast clouds,57.1167,8.6167,Hotel Hanstholm
9,Bethel,US,73.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
13,Kapaa,US,83.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
19,Saint-Philippe,RE,66.22,scattered clouds,-21.3585,55.7679,Le four à pain
20,Butaritari,KI,81.97,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
23,Jamestown,US,67.64,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Ushtobe,KZ,79.11,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
30,Kavaratti,IN,81.27,overcast clouds,10.5669,72.642,Green leaf
31,Kanniyakumari,IN,78.87,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
32,Touros,BR,73.94,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
35,Carnarvon,AU,72.99,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
36,Yellowknife,CA,77.56,few clouds,62.456,-114.3525,The Explorer Hotel
37,Arraial Do Cabo,BR,69.28,clear sky,-22.9661,-42.0278,Pousada Porto Praia
38,Bengkulu,ID,81.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
39,Thompson,CA,75.36,few clouds,55.7435,-97.8558,Burntwood Hotel
40,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
42,The Valley,AI,83.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
45,Rikitea,PF,73.69,clear sky,-23.1203,-134.9692,People ThankYou
47,Buala,SB,84.33,light rain,-8.145,159.5921,Maringe Lagoon Lodge
48,Meulaboh,ID,78.67,overcast clouds,4.1363,96.1285,Kost Pria
50,Goderich,CA,70.92,overcast clouds,43.7501,-81.7165,Harmony Inn
56,Rondonopolis,BR,77.85,clear sky,-16.4708,-54.6356,Serras Hotel
58,Eyl,SO,76.14,scattered clouds,7.9803,49.8164,Amiin Hotel
68,Ribeira Grande,PT,75.47,clear sky,38.5167,-28.7,Quinta da Meia Eira
69,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
70,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
72,Bandarbeyla,SO,76.5,overcast clouds,9.4942,50.8122,JABIR HOTEL
75,Garoua,CM,72.52,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
76,Le Port,RE,70.25,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
77,Atuona,PF,77.54,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
79,Kiunga,PG,78.08,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
82,Turbiv,UA,69.03,overcast clouds,49.3479,28.7212,Olena
85,Whitecourt,CA,76.24,few clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
87,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
92,Dzaoudzi,YT,73.29,clear sky,-12.7887,45.2699,Le Rocher
94,Sabang,ID,82.78,broken clouds,5.8933,95.3214,Hotel Citra
95,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
96,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
97,Japura,ID,83.48,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
100,Salalah,OM,73.49,drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
102,Saint-Leu,RE,69.31,clear sky,-21.15,55.2833,La Caz Oceane
103,Broome,US,73.62,overcast clouds,42.2506,-75.833,Chenango Valley State Park
108,Mayo,US,75.99,broken clouds,38.8876,-76.5119,Resorts Resource Group International
111,Kirkland Lake,CA,66.49,broken clouds,48.1446,-80.0377,Comfort Inn
114,Fort Nelson,CA,67.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
116,Kavieng,PG,83.05,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
119,Torbay,CA,70.75,overcast clouds,47.6666,-52.7314,Gallows Cove
120,Namatanai,PG,83.61,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
123,Georgetown,MY,83.89,scattered clouds,5.4112,100.3354,Cititel Penang
126,Leh,IN,65.25,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
127,Mach,PK,75.96,overcast clouds,29.8637,67.3298,Naqeebullah Hotel Mach نقیب اللہ ہوٹل مچھ
130,Sao Filipe,CV,77.02,clear sky,14.8961,-24.4956,Hotel Xaguate
132,Mahebourg,MU,67.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
133,Caravelas,BR,67.93,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
136,Xichang,CN,74.3,scattered clouds,27.8964,102.2634,Xichang ibis Hotel
138,Florida,US,78.91,scattered clouds,28.7505,-82.5001,Sportsmens Cove
139,Kyaikkami,MM,81.75,light rain,16.08,97.5675,St. joseph catholic church
140,Faanui,PF,78.75,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
